,mutants,caught_mutants,mutation_score
NULL_RETURNS,27,14,0.5185185185185185
VOID_METHOD_CALLS,12,12,1.0
NEGATE_CONDITIONALS,2,2,1.0
INLINE_CONSTS,4,3,0.75
AOR,1,1,1.0
ROR,3,3,1.0
CONDITIONALS_BOUNDARY,4,2,0.5
MATH,5,5,1.0
AOD,1,1,1.0
REMOVE_CONDITIONALS,7,7,1.0
PRIMITIVE_RETURNS,2,1,0.5
FALSE_RETURNS,1,0,0.0
TRUE_RETURNS,1,1,1.0
CONSTRUCTOR_CALLS,1,1,1.0
UOI,1,1,1.0
