,mutants,caught_mutants,mutation_score
AOR,1,1,1.0
MATH,2,2,1.0
VOID_METHOD_CALLS,5,5,1.0
REMOVE_CONDITIONALS,4,4,1.0
NEGATE_CONDITIONALS,2,2,1.0
INLINE_CONSTS,1,1,1.0
FALSE_RETURNS,1,1,1.0
NON_VOID_METHOD_CALLS,11,11,1.0
PRIMITIVE_RETURNS,1,0,0.0
CONSTRUCTOR_CALLS,1,1,1.0
UOI,1,1,1.0
